"id","trade_date","trade_action","predicted_price","final_portfolio_value","created_at"
189,"2024-10-29","SELL","233.10000610351562","123872.55959626078","2025-01-09 20:52:10.603487"
190,"2024-10-30","SELL","232.61000061035156","123872.5595962401","2025-01-09 20:52:10.603487"
191,"2024-10-31","SELL","229.33999633789062","123872.55959618237","2025-01-09 20:52:10.603487"
192,"2024-11-01","SELL","220.97000122070312","123872.55959611006","2025-01-09 20:52:10.603487"
193,"2024-11-04","HOLD","220.99000549316406","123872.55959611015","2025-01-09 20:52:10.603487"
194,"2024-11-05","SELL","221.8000030517578","123872.55959611312","2025-01-09 20:52:10.603487"
195,"2024-11-06","SELL","222.61000061035156","123872.55959611462","2025-01-09 20:52:10.603487"
196,"2024-11-07","SELL","224.6300048828125","123872.55959611665","2025-01-09 20:52:10.603487"
197,"2024-11-08","SELL","227.1699981689453","123872.55959611795","2025-01-09 20:52:10.603487"
198,"2024-11-11","SELL","225.0","123872.55959611734","2025-01-09 20:52:10.603487"
199,"2024-11-12","SELL","224.5500030517578","123872.55959611727","2025-01-09 20:52:10.603487"
200,"2024-11-13","SELL","224.00999450683594","123872.55959611722","2025-01-09 20:52:10.603487"
201,"2024-11-14","SELL","225.02000427246094","123872.55959611725","2025-01-09 20:52:10.603487"
202,"2024-11-15","SELL","226.39999389648438","123872.55959611727","2025-01-09 20:52:10.603487"
203,"2024-11-18","SELL","225.25","123872.55959611724","2025-01-09 20:52:10.603487"
204,"2024-11-19","HOLD","226.97999572753906","123872.55959611725","2025-01-09 20:52:10.603487"
205,"2024-11-20","HOLD","228.05999755859375","123872.55959611725","2025-01-09 20:52:10.603487"
206,"2024-11-21","HOLD","228.8800048828125","123872.55959611725","2025-01-09 20:52:10.603487"
207,"2024-11-22","HOLD","228.05999755859375","123872.55959611725","2025-01-09 20:52:10.603487"
208,"2024-11-25","HOLD","231.4600067138672","123872.55959611727","2025-01-09 20:52:10.603487"
209,"2024-11-26","HOLD","233.3300018310547","123872.55959611728","2025-01-09 20:52:10.603487"
210,"2024-11-27","HOLD","234.47000122070312","123872.55959611728","2025-01-09 20:52:10.603487"
211,"2024-11-29","HOLD","234.80999755859375","123872.55959611728","2025-01-09 20:52:10.603487"
